Character,Hex,Logic,Type,Name,Braille
ְ,05B0,187.0,letter,point sheva ,⠄
ֱ,05B1,188.0,letter,hataf segol,⠢
ֲ,05B2,188.0,letter,hataf patah,⠒
ֳ,05B3,185.0,letter,point hataf qamats*,⠜
ִי,05B4+05D9,201.0,always,point hiriq-yod,⠔
ִ,05B4,188.0,letter,point hiriq*,⠊
ֵי,05B5+05D9,188.0,always,point tsere-yod*,⠼
ֵ,05B5,185.0,letter,point tsere*,⠌
ֶ,05B6,185.0,letter,point segol*,⠑
ַ,05B7,185.0,letter,point patah*,⠉
ָ,05B8,185.0,letter,point qamats*,⠣
ֹ,05B9,185.0,letter,holam Malay *,⠕
ֺ,05BA,188.0,letter,point holam haser ,⠪
ֻ,05BB,185.0,letter,point qubuts*,⠬
ּ,05BC,186.0,letter,dagesh,⠐
א,05D0,8.0,letter,letter alef,⠁
אּ,05D0+05BC,8.0,letter,letter alef with dagesh,⠐⠁
אִּ,05D0+05B4+05BC,186.0,always,alef dagesh with hiriq,⠐⠁⠊
אֵּ,05D0+05B5+05BC,186.0,always,alef dagesh with tsere,⠐⠁⠌
אֶּ,05D0+05B6+05BC,186.0,always,alef dagesh with segol,⠐⠁⠑
אַּ,05D0+05B7+05BC,186.0,always,alef dagesh with patah,⠐⠁⠉
אָּ,05D0+05B8+05BC,186.0,always,alef dagesh  qamats,⠐⠁⠣
אֱּ,05D0+05B1+05BC,186.0,always,alef dagesh  hataf segol,⠐⠁⠢
אֲּ,05D0+05B2+05BC,186.0,always,alef dagesh  hataf patah,⠐⠁⠒
אֳּ,05D0+05B3+05BC,186.0,always,alef dagesh  hataf qamats,⠐⠁⠜
בּ,05D1+05BC,8.0,always,bet with dagesh,⠃
בּ,FB31,3.0,always,Bet with dagesh,⠃
בּ,05D1+05BC,8.0,always,bet with dagesh,⠃
בִּ,05D1+05B4+05BC,8.0,always,bet  dagesh with hiriq,⠃⠊
בֵּ,05D1+05B5+05BC,8.0,always,bet with dagesh,⠃⠌
בֶּ,05D1+05B6+05BC,8.0,always,bet with dagesh,⠃⠑
בַּ,05D1+05B7+05BC,8.0,always,bet with dagesh,⠃⠉
בָּ,05D1+05B8+05BC,8.0,always,bet dageshwith qamats,⠃⠣
בֱּ,05D1+05B1+05BC,8.0,always,bet dagesh with hataf segol,⠃⠢
בֲּ,05D1+05B2+05BC,8.0,always,bet dagesh with hataf patah,⠃⠒
בֳּ,05D1+05B3+05BC,8.0,always,bet dagesh with hataf qamats,⠃⠜
,05D1+05B4+05BC,8.0,always,bet  dagesh with hiriq,⠃⠊
בֵּ,05D1+05B5+05BC,8.0,always,bet  dagesh with tsere,⠃⠌
בֶּ,05D1+05B6+05BC,8.0,always,bet  dagesh with segol,⠃⠑
בַּ,05D1+05B7+05BC,8.0,always,bet  dagesh with patah,⠃⠉
בָּ,05D1+05B8+05BC,8.0,always,bet dagesh qamats,⠃⠣
בֱּ,05D1+05B1+05BC,8.0,always,bet dagesh  hataf segol,⠃⠢
בֲּ,05D1+05B2+05BC,8.0,always,bet dagesh  hataf patah,⠃⠒
בֳּ,05D1+05B3+05BC,8.0,always,bet dagesh  hataf qamats,⠃⠜
ב,05D1,8.0,letter,bet,⠧
ג,05D2,8.0,letter,gimel,⠛
גּ,05D2+05BC,8.0,letter,gimel with dagesh,⠐⠛
גִּ,05D2+05B4+05BC,186.0,always,gimel dagesh with hiriq,⠐⠛⠊
גֵּ,05D2+05B5+05BC,186.0,always,gimel dagesh with tsere,⠐⠛⠌
גֶּ,05D2+05B6+05BC,186.0,always,gimel dagesh with segol,⠐⠛⠑
גַּ,05D2+05B7+05BC,186.0,always,gimel dagesh with patah,⠐⠛⠉
גָּ,05D2+05B8+05BC,186.0,always,Gimel dagesh  qamats,⠐⠛⠣
גֱּ,05D2+05B1+05BC,186.0,always,Gimel dagesh  hataf segol,⠐⠛⠢
גֲּ,05D2+05B2+05BC,186.0,always,Gimel dagesh  hataf patah,⠐⠛⠒
גֳּ,05D2+05B3+05BC,186.0,always,Gimel dagesh  hataf qamats,⠐⠙⠜
דּ,05D3+05BC,186.0,always,dalet with dagesh,⠐⠙
דִּ,05D3+05B4+05BC,186.0,always,dalet  dagesh with hiriq,⠐⠙⠊
דֵּ,05D3+05B5+05BC,186.0,always,dalet with dagesh,⠐⠙⠌
דֶּ,05D3+05B6+05BC,186.0,always,dalet with dagesh,⠐⠙⠑
דַּ,05D3+05B7+05BC,186.0,always,dalet with dagesh,⠐⠙⠉
דָּ,05D3+05B8+05BC,186.0,always,dalet dagesh with qamats,⠐⠙⠣
דֱּ,05D3+05B1+05BC,186.0,always,dalet dagesh with hataf segol,⠐⠙⠢
דֲּ,05D3+05B2+05BC,186.0,always,dalet dagesh with hataf patah,⠐⠙⠒
דֳּ,05D3+05B3+05BC,186.0,always,dalet dagesh with hataf qamats,⠐⠙⠜
ד,05D3,8.0,letter,letter dalet,⠙
ה,05D4,8.0,letter,letter hey,⠓
הּ,05D4+05BC,8.0,letter,letter hey with dagesh,⠐⠓
הִּ,05D4+05B4+05BC,186.0,always,letter heydagesh with hiriq,⠐⠓⠊
הֵּ,05D4+05B5+05BC,186.0,always,letter Hey dagesh with tsere,⠐⠓⠌
הֶּ,05D4+05B6+05BC,186.0,always,letter Hey dagesh with segol,⠐⠓⠑
הַּ,05D4+05B7+05BC,186.0,always,letter Hey dagesh with patah,⠐⠓⠉
הָּ,05D4+05B8+05BC,186.0,always,letter Hey dagesh  qamats,⠐⠓⠣
