Character(decimal),Decimal,Character,Hex,Type,Name,Braille
𒀙,73753,𒀙,12019,letter,CUNEIFORM SIGN AB2 TIMES ME PLUS EN,⠁⠃⠡⠍⠑⠬⠑⠝
𒀚,73754,𒀚,1201A,letter,CUNEIFORM SIGN AB2 TIMES SHA3,⠁⠃⠡⠩⠁⠒
𒀛,73755,𒀛,1201B,letter,CUNEIFORM SIGN AB2 TIMES TAK4,⠁⠃⠡⠞⠁⠅⠲
𒀜,73756,𒀜,1201C,letter,CUNEIFORM SIGN AD,⠁⠙
𒀝,73757,𒀝,1201D,letter,CUNEIFORM SIGN AK,⠁⠅
𒀞,73758,𒀞,1201E,letter,CUNEIFORM SIGN AK TIMES ERIN2,⠁⠅⠡⠑⠗⠊⠝
𒀟,73759,𒀟,1201F,letter,CUNEIFORM SIGN AK TIMES SHITA PLUS GISH,⠁⠅⠡⠩⠊⠞⠁⠬⠛⠊⠩
𒀠,73760,𒀠,12020,letter,CUNEIFORM SIGN AL,⠁⠇
𒀡,73761,𒀡,12021,letter,CUNEIFORM SIGN AL TIMES AL,⠁⠇⠡⠁⠇
𒀢,73762,𒀢,12022,letter,CUNEIFORM SIGN AL TIMES DIM2,⠁⠇⠡⠙⠊⠍
𒀣,73763,𒀣,12023,letter,CUNEIFORM SIGN AL TIMES GISH,⠁⠇⠡⠛⠊⠩
𒀤,73764,𒀤,12024,letter,CUNEIFORM SIGN AL TIMES HA,⠁⠇⠡⠓⠁
𒀥,73765,𒀥,12025,letter,CUNEIFORM SIGN AL TIMES KAD3,⠁⠇⠡⠅⠁⠙⠒
𒀦,73766,𒀦,12026,letter,CUNEIFORM SIGN AL TIMES KI,⠁⠇⠡⠅⠊
𒀧,73767,𒀧,12027,letter,CUNEIFORM SIGN AL TIMES SHE,⠁⠇⠡⠩⠑
𒀨,73768,𒀨,12028,letter,CUNEIFORM SIGN AL TIMES USH,⠁⠇⠡⠥⠩
𒀩,73769,𒀩,12029,letter,CUNEIFORM SIGN ALAN,⠁⠇⠁⠝
𒀪,73770,𒀪,1202A,letter,CUNEIFORM SIGN ALEPH,⠁⠇⠑⠏⠓
𒀫,73771,𒀫,1202B,letter,CUNEIFORM SIGN AMAR,⠁⠍⠜
𒀬,73772,𒀬,1202C,letter,CUNEIFORM SIGN AMAR TIMES SHE,⠁⠍⠜⠡⠩⠑
𒀭,73773,𒀭,1202D,letter,CUNEIFORM SIGN AN,⠁⠝
𒀮,73774,𒀮,1202E,letter,CUNEIFORM SIGN AN OVER AN,⠁⠝⠌⠁⠝
𒀯,73775,𒀯,1202F,letter,CUNEIFORM SIGN AN THREE TIMES,⠁⠝⠘⠸⠒
𒀰,73776,𒀰,12030,letter,CUNEIFORM SIGN AN PLUS NAGA OPPOSING AN PLUS NAGA,⠁⠝⠬⠝⠁⠛⠁⠫⠁⠝⠬⠝⠁⠛⠁
𒀱,73777,𒀱,12031,letter,CUNEIFORM SIGN AN PLUS NAGA SQUARED,⠁⠝⠬⠝⠁⠛⠁⠘⠸
𒀲,73778,𒀲,12032,letter,CUNEIFORM SIGN ANSHE,⠁⠝⠩⠑
𒀳,73779,𒀳,12033,letter,CUNEIFORM SIGN APIN,⠁⠏⠊⠝
𒀴,73780,𒀴,12034,letter,CUNEIFORM SIGN ARAD,⠜⠁⠙
𒀵,73781,𒀵,12035,letter,CUNEIFORM SIGN ARAD TIMES KUR,⠜⠁⠙⠡⠅⠥⠗
