Character,Hex,Logic,Type,Name,Braille
𒁔,12054,238,letter,DU9,⠙⠥⠔
𒁕,12055,238,letter,DU20,⠙⠥⠆⠴
𒁖,12056,238,letter,PAR3,⠏⠜⠒
𒁗,12057,238,letter,DAGKISIM5xA+MAsh,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠁⠬⠍⠁⠩
𒁘,12058,238,letter,DAGKISIM5xAMAR,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠁⠍⠜
𒁙,12059,238,letter,DAGKISIM5xBALAG,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠃⠁⠇⠁⠛
𒁚,1205A,238,letter,DAGKISIM5xBI,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠃⠊
𒁛,1205B,238,letter,UBUR,⠥⠃⠥⠗
𒁜,1205C,238,letter,DAGKISIM5xGA+MAsh,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠛⠁⠬⠍⠁⠩
𒁝,1205D,238,letter,DAGKISIM5xGI,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠛⠊
𒁞,1205E,238,letter,KIshI8,⠅⠊⠩⠊⠦
𒁟,1205F,238,letter,UTUL5,⠥⠞⠥⠇⠢
𒁠,12060,238,letter,DAGKISIM5xHA,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠓⠁
𒁡,12061,238,letter,UBUR3,⠥⠃⠥⠗⠒
𒁢,12062,238,letter,UBUR4,⠥⠃⠥⠗⠲
𒁣,12063,238,letter,DAGKISIM5xKAK,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠅⠁⠅
𒁤,12064,238,letter,DAGKISIM5xLA,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠇⠁
𒁥,12065,238,letter,UBUR2,⠥⠃⠥⠗⠆
𒁦,12066,238,letter,AMAsh,⠁⠍⠁⠩
𒁧,12067,238,letter,DAGKISIM5xLUM,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠇⠥⠍
𒁨,12068,238,letter,DAGKISIM5xNE,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠝⠑
𒁩,12069,238,letter,DAGKISIM5xPAP+PAP,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠏⠁⠏⠬⠏⠁⠏
𒁪,1206A,238,letter,DAGKISIM5xSI,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠎⠊
𒁫,1206B,238,letter,DAGKISIM5xTAK4,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠞⠁⠅⠲
𒁬,1206C,238,letter,DAGKISIM5xU2+GIR2,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠥⠆⠬⠛⠊⠗⠆
𒁭,1206D,238,letter,DAGKISIM5xUsh,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠥⠩
𒁮,1206E,238,letter,DAM,⠙⠁⠍
𒁯,1206F,238,letter,GUN3,⠛⠥⠝⠒
𒁰,12070,166,letter,ibex,⠊⠃⠑⠭
𒁱,12071,817,letter,DARA4,⠙⠜⠁⠲
𒁲,12072,736,letter,DE,⠙⠑
𒁳,12073,813,letter,DAB,⠙⠁⠃
𒁴,12074,167,letter,DIM,⠙⠊⠍
𒁵,12075,168,letter,MUN,⠍⠥⠝
𒁶,12076,686,letter,DEM2,⠙⠑⠍⠆
𒁷,12077,119,letter,DAN5,⠙⠁⠝⠢
𒁸,12078,148,letter,DINKASKALUgunuDIsh,⠙⠊⠝⠅⠁⠎⠅⠁⠇⠥⠛⠥⠝⠥⠙⠊⠩
𒁹,12079,748,letter,NIGIDA,⠝⠊⠛⠊⠙⠁
𒁺,1207A,350,letter,du,⠙⠥
𒁻,1207B,350,letter,RE7,⠗⠑⠶
𒁼,1207C,351,letter,GIR6,⠛⠊⠗⠖
𒁽,1207D,352,letter,GIR5,⠛⠊⠗⠢
𒁾,1207E,242,letter,KIshIB3,⠅⠊⠩⠊⠃⠒
𒁿,1207F,238,letter,DUBxEsh2,⠙⠥⠃⠭⠑⠩⠆
𒂀,12080,238,letter,DUB2,⠙⠥⠃⠆
𒂁,12081,499,letter,BIxA,⠃⠊⠭⠁
𒂂,12082,704,letter,DUGUD,⠙⠥⠛⠥⠙
𒂃,12083,298GAB,letter,DUH,⠙⠥⠓
𒂄,12084,744,letter,shUL,⠩⠥⠇
𒂅,12085,836,letter,DU5,⠙⠥⠢
𒂆,12086,128,letter,DUN3gunu,⠙⠥⠝⠒⠛⠥⠝⠥
𒂇,12087,128,letter,MIR,⠍⠊⠗
𒂈,12088,557,letter,DUL4,⠙⠥⠇⠲
𒂉,12089,808,letter,DURU2,⠙⠥⠗⠥⠆
𒂊,1208A,498,letter,E,⠑
𒂋,1208B,238,letter,ExPAP,⠑⠭⠏⠁⠏
𒂌,1208C,238,letter,E/ENUN/NUN,⠑⠌⠑⠝⠥⠝⠌⠝⠥⠝
𒂍,1208D,495,letter,E2,⠑⠆
𒂎,1208E,238,letter,E2xA+HA+DA,⠑⠆⠭⠁⠬⠓⠁⠬⠙⠁
𒂏,1208F,238,letter,E2xGAR,⠑⠆⠭⠛⠜
𒂐,12090,238,letter,E2xMI,⠑⠆⠭⠍⠊
𒂑,12091,128,letter,E2xSAL,⠑⠆⠭⠎⠁⠇
𒂒,12092,238,letter,E2xshE,⠑⠆⠭⠩⠑
𒂓,12093,238,letter,E2xU,⠑⠆⠭⠥
𒂔,12094,300,letter,EDEN,⠑⠙⠑⠝
𒂕,12095,356,letter,EGIR,⠑⠛⠊⠗
𒂖,12096,899,letter,SIKIL,⠎⠊⠅⠊⠇
𒂗,12097,164,letter,EN,⠑⠝
