Character,Hex,Type,Name,Braille
𒊥,122A5,letter,SAGxUM,⠎⠁⠛⠭⠥⠍
𒊦,122A6,letter,SAGxUR,⠎⠁⠛⠭⠥⠗
𒊧,122A7,letter,SAGxUsh,⠎⠁⠛⠭⠥⠩
𒊨,122A8,letter,SAG/SAG,⠎⠁⠛⠌⠎⠁⠛
𒊩,122A9,letter,DUL3,⠙⠥⠇⠒
𒊪,122AA,letter,MI2,⠍⠊⠆
𒊫,122AB,letter,SALLAGABxAsh2,⠎⠁⠇⠇⠁⠛⠁⠃⠭⠁⠩⠆
𒊬,122AC,letter,SANGA2,⠎⠁⠝⠛⠁⠆
𒊭,122AD,letter,MU2,⠍⠥⠆
𒊮,122AE,letter,shA,⠩⠁
𒊯,122AF,letter,shAG4,⠩⠁⠛⠲
𒊰,122B0,letter,PEsh4,⠏⠑⠩⠲
𒊱,122B1,letter,shA3xBAD,⠩⠁⠒⠭⠃⠁⠙
𒊲,122B2,letter,shA3xGIsh,⠩⠁⠒⠭⠛⠊⠩
𒊙,12299,letter,SAGxDUB,⠎⠁⠛⠭⠙⠥⠃
𒊗,12297,letter,SAGxA,⠎⠁⠛⠭⠁
𒉼,1227C,letter,shUK,⠩⠥⠅
𒊖,12296,letter,SAG,⠎⠁⠛
𒉽,1227D,letter,PAN,⠏⠁⠝
𒉾,1227E,letter,PAB,⠏⠁⠃
𒉿,1227F,letter,PEsh2,⠏⠑⠩⠆
𒊀,12280,letter,TAL2,⠞⠁⠇⠆
𒊁,12281,letter,PIxA,⠏⠊⠭⠁
𒊂,12282,letter,PIxAB,⠏⠊⠭⠁⠃
𒊃,12283,letter,PIxBI,⠏⠊⠭⠃⠊
𒊄,12284,letter,PIxBU,⠏⠊⠭⠃⠥
𒊅,12285,letter,PIxBU,⠏⠊⠭⠃⠥
𒊆,12286,letter,PIxI,⠏⠊⠭⠊
𒊇,12287,letter,PIxIB,⠏⠊⠭⠊⠃
𒊈,12288,letter,PIxU,⠏⠊⠭⠥
𒊉,12289,letter,PIxU2,⠏⠊⠭⠥⠆
𒊊,1228A,letter,PIcrossingPI,⠏⠊⠉⠗⠕⠎⠎⠊⠝⠛⠏⠊
𒊋,1228B,letter,PIRIG,⠏⠊⠗⠊⠛
𒊌,1228C,letter,PIRIGxKAL,⠏⠊⠗⠊⠛⠭⠅⠁⠇
𒊍,1228D,letter,UG,⠥⠛
𒊎,1228E,letter,AZ,⠁⠵
𒊏,1228F,letter,PIRIGopposingPIRIG,⠏⠊⠗⠊⠛⠕⠏⠏⠕⠎⠊⠝⠛⠏⠊⠗⠊⠛
𒊐,12290,letter,RA,⠗⠁
𒊑,12291,letter,RAB,⠗⠁⠃
𒊒,12292,letter,DAL,⠙⠁⠇
𒊓,12293,letter,RU,⠗⠥
𒊔,12294,letter,SA,⠎⠁
𒊕,12295,letter,SAGNUTILLU,⠎⠁⠛⠝⠥⠞⠊⠇⠇⠥
𒉂,12242,letter,HAYA238,⠓⠁⠽⠁⠆⠒⠦
𒉁,12241,letter,NISABA,⠝⠊⠎⠁⠃⠁
𒉀,12240,letter,NU2,⠝⠥⠆
𒇫,121EB,letter,LAGABxUsh,⠇⠁⠛⠁⠃⠭⠥⠩
𒇭,121ED,letter,LAGAR,⠇⠁⠛⠜
𒇮,121EE,letter,SU7,⠎⠥⠶
𒇯,121EF,letter,LAGARxshE+SUM,⠇⠁⠛⠜⠭⠩⠑⠬⠎⠥⠍
𒇰,121F0,letter,DU6,⠙⠥⠖
𒇱,121F1,letter,LAGARgunu/LAGARgunushE,⠇⠁⠛⠜⠛⠥⠝⠥⠌⠇⠁⠛⠜⠛⠥⠝⠥⠩⠑
𒇲,121F2,letter,LAHshU,⠇⠁⠓⠩⠥
𒇳,121F3,letter,LA2,⠇⠁⠆
𒇴,121F4,letter,LAL2,⠇⠁⠇⠆
𒇵,121F5,letter,BAfromGANBA,⠃⠁⠋⠗⠕⠍⠛⠁⠝⠃⠁
𒇶,121F6,letter,Esh22,⠑⠩⠆⠆
𒇷,121F7,letter,LAMxKUR+RU,⠇⠁⠍⠭⠅⠥⠗⠬⠗⠥
𒇸,121F8,letter,LI,⠇⠊
𒇹,121F9,letter,LIL,⠇⠊⠇
𒇺,121FA,letter,LIMMU2,⠇⠊⠍⠍⠥⠆
𒇻,121FB,letter,DILIM,⠙⠊⠇⠊⠍
𒇼,121FC,letter,UDU,⠥⠙⠥
𒇽,121FD,letter,AD,⠁⠙
𒇾,121FE,letter,Person,⠏⠑⠗⠎⠕⠝
𒇿,121FF,letter,LU2xAL,⠇⠥⠆⠭⠁⠇
𒈀,12200,letter,LU2xBAD,⠇⠥⠆⠭⠃⠁⠙
𒈁,12201,letter,LU2xEsh2,⠇⠥⠆⠭⠑⠩⠆
𒈂,12202,letter,LU2xEsh2tenu,⠇⠥⠆⠭⠑⠩⠆⠞⠑⠝⠥
𒈃,12203,letter,LU2xGAN2tenu,⠇⠥⠆⠭⠛⠁⠝⠆⠞⠑⠝⠥
𒈄,12204,letter,LU2xHIxBAD,⠇⠥⠆⠭⠓⠊⠭⠃⠁⠙
𒈅,12205,letter,LU2xIM,⠇⠥⠆⠭⠊⠍
𒇬,121EC,letter,LAGABsquared,⠇⠁⠛⠁⠃⠎⠟⠥⠜⠑⠙
𒇪,121EA,letter,LAGABxUD,⠇⠁⠛⠁⠃⠭⠥⠙
𒈿,1223F,letter,Na,⠝⠁
𒇨,121E8,letter,LAGABxU2+Ash,⠇⠁⠛⠁⠃⠭⠥⠆⠬⠁⠩
𒇏,121CF,letter,LAGABxKI,⠇⠁⠛⠁⠃⠭⠅⠊
𒇐,121D0,letter,LAGABxKIN,⠇⠁⠛⠁⠃⠭⠅⠊⠝
𒇑,121D1,letter,GARIM,⠛⠜⠊⠍
𒇒,121D2,letter,LAGABxKUL,⠇⠁⠛⠁⠃⠭⠅⠥⠇
𒇓,121D3,letter,LAGABxKUL+HI+A,⠇⠁⠛⠁⠃⠭⠅⠥⠇⠬⠓⠊⠬⠁
𒇔,121D4,letter,NIGIN,⠝⠊⠛⠊⠝
𒇕,121D5,letter,LAGABxLIsh,⠇⠁⠛⠁⠃⠭⠇⠊⠩
𒇖,121D6,letter,LAGABxLU,⠇⠁⠛⠁⠃⠭⠇⠥
𒇗,121D7,letter,LAGABxLUL,⠇⠁⠛⠁⠃⠭⠇⠥⠇
𒇘,121D8,letter,LAGABxME,⠇⠁⠛⠁⠃⠭⠍⠑
𒇙,121D9,letter,LAGABxME+EN,⠇⠁⠛⠁⠃⠭⠍⠑⠬⠑⠝
𒇚,121DA,letter,LAGABxMUsh,⠇⠁⠛⠁⠃⠭⠍⠥⠩
𒇛,121DB,letter,UDUB,⠥⠙⠥⠃
𒇜,121DC,letter,LAGABxshE+SUM,⠇⠁⠛⠁⠃⠭⠩⠑⠬⠎⠥⠍
𒇝,121DD,letter,LAGABxshITA+GIsh+ERIN2,⠇⠁⠛⠁⠃⠭⠩⠊⠞⠁⠬⠛⠊⠩⠬⠑⠗⠊⠝⠆
𒇞,121DE,letter,LAGABxshITA+GIshtenu,⠇⠁⠛⠁⠃⠭⠩⠊⠞⠁⠬⠛⠊⠩⠞⠑⠝⠥
