Character,Hex,Logic,Type,Name,Braille
שֱׁ,05E9+05B1+05C1,8.0,always,letter shin  dot and hataf segol,⠩⠢
שֲׁ,05E9+05B2+05C1,8.0,always,letter shin  dot and hataf patah ,⠩⠒
שֳׁ,05E9+05B3+05C1,8.0,always,letter shin  dot and hataf qamats,⠩⠜
שִׂ,05E9+05B4+05BC,214.0,always,letter sin with hiriq,⠱⠊
שֵׂ,05E9+05B5+05C2,214.0,always,letter sin with tsere,⠱⠌
שֶׂ,05E9+05B6+05C2,214.0,always,letter sin with segol,⠱⠑
שַׂ,05E9+05B7+05C2,214.0,always,letter sin with patah,⠱⠉
שָׂ,05E9+05B8+05C2,214.0,always,letter sin  qamats,⠱⠣
שֱׂ,05E9+05B1+05C2,214.0,always,letter sin  hataf segol,⠱⠢
שֲׂ,05E9+05B2+05C2,214.0,always,letter sin  hataf patah,⠱⠒
שֳׂ,05E9+05B3+05C2,214.0,always,letter sin  hataf qamats,⠱⠜
תִּ,05EA+05B4+05BC,8.0,always,letter tav  dagesh with hiriq,⠳⠊
תֵּ,05EA+05B5+05BC,8.0,always,letter tav  dagesh with tsere,⠳⠌
תֶּ,05EA+05B6+05BC,8.0,always,letter tav  dagesh with segol,⠳⠑
תַּ,05EA+05B7+05BC,8.0,always,letter tav  dagesh with patah,⠳⠉
תָּ,05EA+05B8+05BC,8.0,always,letter tav dagesh  with qamats,⠳⠣
תֱּ,05EA+05B1+05BC,8.0,always,letter tav dagesh  hataf segol,⠳⠢
תֲּ,05EA+05B2+05BC,8.0,always,letter tav dagesh  hataf patah,⠳⠒
תֳּ,05EA+05B3+05BC,8.0,always,letter tav dagesh  hataf qamats,⠳⠜
