Char,Hex,Type,Name,Braille
ጦ,U+1326 +BE56,letter,tho,⠾⠕
ጧ,U+1327 +BE57,letter,thwa,⠾⠭
ጨ,U+1328 +BE58,letter,cha,⠉⠢
ፁ,U+1341 +BE71,letter,tzu,⠯⠥
ጻ,U+133b +BE6B,letter,tsaa,⠮⠁
ጼ,U+133c +BE6C,letter,tsee,⠮⠑
ጽ,U+133d +BE6D,letter,tse,⠮
ጾ,U+133e +BE6E,letter,tso,⠮⠕
ጿ,U+133f +BE6F,letter,tswa,⠮⠭
ፀ,U+1340 +BE70,letter,tza,⠯⠢
ፂ,U+1342 +BE72,letter,tzi,⠯⠊
ጩ,U+1329 +BE59,letter,chu,⠉⠥
ፃ,U+1343 +BE73,letter,tzaa,⠯⠁
ፄ,U+1344 +BE74,letter,tzee,⠯⠑
?,U+1345 +BE75,letter,tze,⠦
ፆ,U+1346 +BE76,letter,tzo,⠯⠴
ፇ,U+1347 +BE77,letter,tzoa,⠯⠭
ፈ,U+1348 +BE78,letter,fa,⠋⠢
ጺ,U+133a +BE6A,letter,tsi,⠮⠊
ጹ,U+1339 +BE69,letter,tsu,⠮⠥
ጸ,U+1338 +BE68,letter,tsa,⠮⠢
ጷ,U+1337 +BE67,letter,phwa,⠖⠭
ጶ,U+1336 +BE66,letter,pho,⠖⠕
ጵ,U+1335 +BE65,letter,phe,⠖⠂
ጴ,U+1334 +BE64,letter,phee,⠖⠑
ጳ,U+1333 +BE63,letter,phaa,⠖⠁
ጲ,U+1332 +BE62,letter,phi,⠖⠊
ጱ,U+1331 +BE61,letter,phu,⠖⠥
ጰ,U+1330 +BE60,letter,pha,⠖⠢
ጯ,U+132f +BE5F,letter,chwa,⠉⠭
ጮ,U+132e +BE5E,letter,cho,⠉⠕
ጭ,U+132d +BE5D,letter,che,⠉
ጬ,U+132c +BE5C,letter,chee,⠉⠑
ጫ,U+132b +BE5B,letter,chaa,⠉⠁
ጪ,U+132a +BE5A,letter,chi,⠉⠊
᎘,U+1398 +BF48,letter,deret hidet,⠌⠙⠓
