Character,Hex,Type,Name,Braille
𒊙,12299,letter,SAG TIMES HA,⠎⠁⠛⠡⠓⠁
𒊚,1229A,letter,SAG TIMES KAK,⠎⠁⠛⠡⠅⠁⠅
𒊛,1229B,letter,SAG TIMES KUR,⠎⠁⠛⠡⠅⠥⠗
𒊜,1229C,letter,SAG TIMES LUM,⠎⠁⠛⠡⠇⠥⠍
𒊝,1229D,letter,SAG TIMES MI,⠎⠁⠛⠡⠍⠊
𒊞,1229E,letter,SAG TIMES NUN,⠎⠁⠛⠡⠝⠥⠝
𒊟,1229F,letter,SAG TIMES SAL,⠎⠁⠛⠡⠎⠁⠇
𒊠,122A0,letter,SAG TIMES SHID,⠎⠁⠛⠡⠩⠊⠙
𒊡,122A1,letter,SAG TIMES TAB,⠎⠁⠛⠡⠞⠁⠃
𒊢,122A2,letter,SAG TIMES U2,⠎⠁⠛⠡⠥
𒊣,122A3,letter,SAG TIMES UB,⠎⠁⠛⠡⠥⠃
𒊤,122A4,letter,SAG TIMES UM,⠎⠁⠛⠡⠥⠍
𒊥,122A5,letter,SAG TIMES UR,⠎⠁⠛⠡⠥⠗
𒊦,122A6,letter,SAG TIMES USH,⠎⠁⠛⠡⠥⠩
𒊧,122A7,letter,SAG OVER SAG,⠎⠁⠛⠌⠎⠁⠛
𒊨,122A8,letter,SAG GUNU,⠎⠁⠛ ⠛⠥⠝⠥
𒊩,122A9,letter,SAL,⠎⠁⠇
𒊪,122AA,letter,SAL LAGAB TIMES ASH2,⠎⠁⠇ ⠇⠁⠛⠁⠃⠡⠁⠩
𒊫,122AB,letter,SANGA2,⠎⠁⠝⠛⠁
𒊬,122AC,letter,SAR,⠎⠜
𒊭,122AD,letter,SHA,⠩⠁
𒊮,122AE,letter,SHA3,⠩⠁⠒
𒊯,122AF,letter,SHA3 TIMES A,⠩⠁⠒⠡⠁
𒊰,122B0,letter,SHA3 TIMES BAD,⠩⠁⠒⠡⠃⠁⠙
𒊗,12297,letter,SAG TIMES DU,⠎⠁⠛⠡⠙⠥
𒊖,12296,letter,SAG TIMES A,⠎⠁⠛⠡⠁
𒊕,12295,letter,SAG,⠎⠁⠛
𒊇,12287,letter,PI TIMES U,⠏⠊⠡⠥
𒉼,1227C,letter,PAN,⠏⠁⠝
𒉽,1227D,letter,PAP,⠏⠁⠏
𒉾,1227E,letter,PESH2,⠏⠑⠩
𒉿,1227F,letter,PI,⠏⠊
𒊀,12280,letter,PI TIMES A,⠏⠊⠡⠁
𒊁,12281,letter,PI TIMES AB,⠏⠊⠡⠁⠃
𒊂,12282,letter,PI TIMES BI,⠏⠊⠡⠃⠊
𒊃,12283,letter,PI TIMES BU,⠏⠊⠡⠃⠥
𒊄,12284,letter,PI TIMES E,⠏⠊⠡⠑
𒊅,12285,letter,PI TIMES I,⠏⠊⠡⠊
𒊆,12286,letter,PI TIMES IB,⠏⠊⠡⠊⠃
𒊈,12288,letter,PI TIMES U2,⠏⠊⠡⠥
𒊔,12294,letter,SAG NUTILLU,⠎⠁⠛ ⠝⠥⠞⠊⠇⠇⠥
𒊉,12289,letter,PI CROSSING PI,⠏⠊⠯⠏⠊
𒊊,1228A,letter,PIRIG,⠏⠊⠗⠊⠛
𒊋,1228B,letter,PIRIG TIMES KAL,⠏⠊⠗⠊⠛⠡⠅⠁⠇
𒊌,1228C,letter,PIRIG TIMES UD,⠏⠊⠗⠊⠛⠡⠥⠙
𒊍,1228D,letter,PIRIG TIMES ZA,⠏⠊⠗⠊⠛⠡⠵⠁
𒊎,1228E,letter,PIRIG OPPOSING PIRIG,⠏⠊⠗⠊⠛⠫⠏⠊⠗⠊⠛
𒊏,1228F,letter,RA,⠗⠁
𒊐,12290,letter,RAB,⠗⠁⠃
𒊑,12291,letter,RI,⠗⠊
𒊒,12292,letter,RU,⠗⠥
𒊓,12293,letter,SA,⠎⠁
𒉁,12241,letter,NAGA INVERTED,⠝⠁⠛⠁ ⠊⠝⠧⠑⠗⠞⠑⠙
𒈿,1223F,letter,NA2,⠝⠁
𒊲,122B2,letter,SHA3 TIMES NE,⠩⠁⠒⠡⠝⠑
𒇪,121EA,letter,LAGAB TIMES USH,⠇⠁⠛⠁⠃⠡⠥⠩
𒇬,121EC,letter,LAGAR,⠇⠁⠛⠜
𒇭,121ED,letter,LAGAR TIMES SHE,⠇⠁⠛⠜⠡⠩⠑
𒇮,121EE,letter,LAGAR TIMES SHE PLUS SUM,⠇⠁⠛⠜⠡⠩⠑⠬⠎⠥⠍
𒇯,121EF,letter,LAGAR GUNU,⠇⠁⠛⠜ ⠛⠥⠝⠥
𒇰,121F0,letter,LAGAR GUNU OVER LAGAR GUNU SHE,⠇⠁⠛⠜ ⠛⠥⠝⠥⠌⠇⠁⠛⠜ ⠛⠥⠝⠥ ⠩⠑
𒇱,121F1,letter,LAHSHU,⠇⠁⠓⠩⠥
𒇲,121F2,letter,LAL,⠇⠁⠇
𒇳,121F3,letter,LAL TIMES LAL,⠇⠁⠇⠡⠇⠁⠇
𒇴,121F4,letter,LAM,⠇⠁⠍
𒇵,121F5,letter,LAM TIMES KUR,⠇⠁⠍⠡⠅⠥⠗
𒇶,121F6,letter,LAM TIMES KUR PLUS RU,⠇⠁⠍⠡⠅⠥⠗⠬⠗⠥
𒇷,121F7,letter,LI,⠇⠊
𒇸,121F8,letter,LIL,⠇⠊⠇
𒇹,121F9,letter,LIMMU2,⠇⠊⠍⠍⠥
𒇺,121FA,letter,LISH,⠇⠊⠩
𒇻,121FB,letter,LU,⠇⠥
𒇼,121FC,letter,LU TIMES BAD,⠇⠥⠡⠃⠁⠙
